ark/input/pg22396.txt', 'brandished') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'draped') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'according') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'jacet') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'futurus') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'ravaged') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'p') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'txt') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'replace') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'renamed') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'print') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'foundation') 25
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'royalties') 2
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'apply') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'anything') 2
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'purpose') 2
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'derivative') 3
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'modified') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'comply') 6
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'available') 2
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'intellectual') 2
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'fee') 8
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'refund') 10
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'b') 3
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'located') 4
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'support') 4
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'share') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'govern') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'constant') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'representations') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'sentence') 2
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'prominently') 2
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'posted') 4
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'holder') 4
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'additional') 4
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'imposed') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'containing') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'convert') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'binary') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'include') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'provided') 4
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'derive') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'calculated') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'donate') 5
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'legally') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'notifies') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'defect') 3
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'expend') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'defects') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'limited') 5
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'inaccurate') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'corrupt') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'errors') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'defective') 3
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'computer') 2
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'disclaim') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'legal') 2
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'negligence') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'strict') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'direct') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'punitive') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'possibility') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'sending') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'explanation') 2
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'electronically') 2
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'disclaimers') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'maximum') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'provision') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'agent') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'employee') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'production') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'promotion') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'arise') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'goals') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'ensuring') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'principal') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'ak') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'gregory') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'survive') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'increasing') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'charitable') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'uniform') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'paperwork') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'confirmation') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'accepted') 2
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'current') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'card') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'library') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'network') 1
('file:///D:/Tartu/Cloud/spark/input/pg22396.txt', 'edition') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'is') 239
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'use') 38
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'in') 1114
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'no') 235
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'it') 1057
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'give') 25
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'terms') 22
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'www') 9
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'org') 9
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'are') 115
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'will') 110
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'country') 10
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'where') 65
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'a') 1628
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'date') 4
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'language') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'images') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'library') 6
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'l') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'york') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'mcmxxvi') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'x') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'xvii') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'xxi') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'xxxi') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'xxxvii') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'morning') 31
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'would') 321
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'different') 17
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'she') 1541
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'her') 1243
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'picnic') 11
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'trent') 57
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'montreal') 15
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'but') 554
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'what') 237
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'preceding') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'slept') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'when') 243
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'stirlings') 37
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'herself') 97
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'never') 249
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'relinquished') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'pitiful') 6
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'shamed') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'until') 29
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'unsought') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'any') 182
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'ay') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'sting') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'after') 95
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'uncle') 224
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'benjamin') 124
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'even') 102
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'eyes') 94
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'there') 305
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'two') 63
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'afraid') 68
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'bring') 11
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'pain') 19
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'got') 95
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'red') 23
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'should') 60
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'laugh') 27
